Account,Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date,Quantity,T Price,C Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,,Exchange Symbol
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,02/07/2024,0.86864478,5.76323039,,-5.0062,0,,,-0.000181,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,02/07/2024,0,5.7622,,0.000000006,0,,,0,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,02/07/2024,0,5.7622,,-0.000000006,0,,,0,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,03/07/2024,0,5.76641583,,0.000000006,0,,,0,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,23/07/2024,-4,5.80205,,23.2082,0,,,-0.001227,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,23/07/2024,-638,5.8025,,3701.995,0,,,-0.146262,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,23/07/2024,0.89716049,5.80520437,,-5.208200003,0,,,-0.000213,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,23/07/2024,-0.2982574,5.80205886,,1.730507002,0,,,-0.000091,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,SGD,USD.SGD,15/02/2024,4.53,1.3457,,-6.096021,0,,,-0.000453,L,,USD.SGD SG
Interactive Brokers,Trades,Data,Order,Forex,SGD,USD.SGD,19/02/2024,-0.01553427,1.34575,,0.020905247,0,,,0.000033,,,USD.SGD SG
Interactive Brokers,Trades,Data,Order,Forex,SGD,USD.SGD,22/02/2024,200,1.343,,-268.6,0,,,0,L,,USD.SGD SG
Interactive Brokers,Trades,Data,Order,Forex,SGD,USD.SGD,22/02/2024,2,1.34305,,-2.6861,0,,,-0.0001,L,,USD.SGD SG
Interactive Brokers,Trades,Data,Order,Forex,SGD,USD.SGD,26/02/2024,-0.91292657,1.34435,,1.227292834,0,,,0.00032,,,USD.SGD SG
